Auteur	Total De Tokens	Occurrences du Mot	Date	Titre	
Pontmartin, Armand de (1811-1890)	6155633.0	276.0	1867	Nouveaux samedis : 3e série / par A. de Pontmartin,... // Histoire littéraire de Fénelon, ou Revue historique et analytique de ses oeuvres, pour servir de complément à son histoire et aux différentes éditions de ses oeuvres / par M... [l'abbé J.-E.-A. Gosselin. avec des Recherches bibliographiques sur le “Télémaque” / par l'abbé A.-P.-P. Caron] // Nouveaux Lundis, tome neuvième // Nouveaux Lundis, tome huitième // Le Galilée de M. Ponsard ou le Polyeucte de l'astronomie // Voltaire et la société française au XVIIIe siècle. 1e sér. / par Gustave Desnoiresterres // Le cerveau et la pensée // Étude critique et bibliographique des oeuvres de Alfred de Musset, pouvant servir d'appendice à l'édition dite de souscription / [par le Vte Spoelberch de Lovenjoul] // Mélanges d'histoire littéraire et de littérature. Tome 2 / par J.-J. Ampère,... ; [publiés par Louis de Loménie] // La science et les lettres en Orient (2e éd.) / par J.-J. Ampère,... ; avec une préface par M. Barthélemy Saint-Hilaire ; (publié par Ch. Daremberg) // Histoire du sonnet, sa grandeur et sa décadence : entretien littéraire / par M. Richaud,... // La statue de Voltaire (2e éd.) / par Maurice Leprévost... // Mélanges d'histoire littéraire et de littérature. Tome 1 / par J.-J. Ampère,... ; [publiés par Louis de Loménie] // Analyse critique, par M. Biou,... de la “Légende rustique”, poème de M. Robinot-Bertrand // Voltaire et la société française au XVIIIe siècle. T.3 Voltaire à la cour / par Gustave Desnoiresterres // Jeanne d'Arc dans la poésie dramatique : conférence du 24 décembre 1866 / par M. Crousle,... // Beaumarchais et la Comédie espagnole : conférence faite à l'ancienne loge de Mer de Perpignan, le 15 février 1867 / par Ch. Revillout,... // Cours familier de littérature [XXIII] // Cours familier de littérature [XXIV] // Corneille et le monde, vers récités sur le Théâtre français... pour le 261e anniversaire de la naissance de P. Corneille // Gens singuliers / Lorédan Larchey // Voltaire, sa vie et ses oeuvres. Tome 2 / par M. l'abbé Maynard,... // Jacques Du Lorens et le Tartuffe : notice sur un précurseur de Despréaux : 1583-1658 / par Prosper Blanchemain // Nouveaux Lundis, tome septième // Nouveaux samedis : 4e série / par A. de Pontmartin,... // Voltaire, sa vie et ses oeuvres. Tome 1 / par M. l'abbé Maynard,... // Suger et son temps (Nouvelle édition revue, corrigée et considérablement augmentée) / par M. Alfred Nettement	
Gourmont, Remy de (1858-1915)	7064226.0	647.0	1900	La culture des idées // Victor Hugo : poète épique / Eugène Rigal,... // petits Romantiques. Antoine Fontaney, Jean Polonius, l'indépendance de la Grèce et les poètes de la Restauration, Jules de Rességuier, Edouard d'Anglemont // Études de littérature allemande. Série 1 / par Arthur Chuquet,... // Les Annales du théâtre et de la musique / Édouard Noël et Edmond Stoullig // Quarante ans de théâtre : feuilletons dramatiques. [Volume 7] / Francisque Sarcey // Quarante ans de théâtre : feuilletons dramatiques. [Volume 1] / Francisque Sarcey // Histoire de la littérature française / Emile Faguet ; complétée par une table analytique des matières dressée par Léon Dorez // Sur les chemins de la vie / Pierre de Bouchaud // Victor Hugo, le poète (3e éd.) / Ch. Renouvier // L'ennemi du peuple par Henrick Ibsen : conférence donnée au Théâtre de l'Oeuvre le samedi 18 février 1899 ; Ballade Solness / Laurent Tailhade // Études de littérature allemande. Série 2 / par Arthur Chuquet,... // Les moralistes sous l'Empire romain : philosophes et poètes (7e édition) / par C. Martha,... // Quarante ans de théâtre : feuilletons dramatiques. [Volume 3] / Francisque Sarcey // Quarante ans de théâtre : feuilletons dramatiques. [Volume 4] / Francisque Sarcey // Revue de Lille // La méthode scientifique de l’histoire littéraire // Taine et Renan // Quarante ans de théâtre : feuilletons dramatiques. [Volume 6] / Francisque Sarcey // Documents inédits sur Alfred de Musset / Maurice Clouard // Du nouveau sur J. Joubert : Chateaubriand, Fontanes et sa fille, Sainte-Beuve,... / par G. Pailhès // Ecrivains célèbres de l'Europe contemporaine : études de littérature étrangère / V. Jeanroy-Félix // Quarante ans de théâtre : [2] Molière et la comédie classique // La philosophie de H. Taine / par Giacomo Barzellotti,... ; trad. de l'italien par Auguste Dietrich // Notre maître Maurice Barrès / René Jacquet // Mémoires de la Société d'agriculture, commerce, sciences et arts du département de la Marne // Quarante ans de théâtre : feuilletons dramatiques. [Volume 5] / Francisque Sarcey	
Batteux, Charles (1713-1780)	128096.0	0.0	1746	Les Beaux Arts réduits à un même principe	
Baumal, Francis (1878-19..)	103348.0	2.0	1919	Genèse du Tartufe. Molière et les dévots	
Demogeot, Jacques (1808-1894)	5741719.0	352.0	1880	Histoire universelle ; 4. Histoire des littératures étrangères considérées dans leurs rapports avec le développement de la littérature française. Littératures méridionales : Italie, Espagne / par J. Demogeot,... // Fusains et eaux-fortes / par Théophile Gautier // Nouveaux samedis : 18e série / par A. de Pontmartin,... // Les œuvres et les hommes XXIII. Poésie et poètes // La Comédie-française à Londres (1871-1879) : journal inédit / de E. Got. journal de F. Sarcey / publ. avec une introd. par Georges d'Heylli // Molière, sa femme et sa fille / par Arsène Houssaye,... // Nouveaux samedis : 19e série / par A. de Pontmartin,... // Trois théâtres : Émile Augier, Alexandre Dumas fils, Victorien Sardou, par Léopold Lacour // Histoire universelle ; 4. Histoire des littératures étrangères considérées dans leurs rapports avec le développement de la littérature française. Littératures septentrionales : Angleterre, Allemagne / par J. Demogeot,... // Les deux masques : tragédie, comédie. VOL2 / par Paul de Saint-Victor... // Les deux masques. Première série. I, Les antiques. Eschyle : tragédie-comédie. // Bossuet orateur : études critiques sur les sermons de la jeunesse de Bossuet (1643-1662) (3e édition) / par E. Gandar,... // Mes moulins (2e éd.) / par Émile Bergerat // Études critiques sur l’histoire de la littérature française // Notice sur Dulaure / par Edouard Fournier // Les deux masques : tragédie, comédie. VOL3 / par Paul de Saint-Victor... // Goethe et Diderot // Les mythes et les légendes de l'Inde et la Perse dans Aristophane, Platon, Aristote, Virgile, Ovide, Tite Live, Dante, Boccace, Arioste, Rabelais, Perrault, La Fontaine / par Eugène Lévêque // Les Soirées parisiennes... / par un monsieur de l'orchestre // Promenades archéologiques : Rome et Pompéi / par Gaston Boissier,... // Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné,.... 3, Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné : durant le ministère du Cardinal Mazarin et la jeunesse de Louis XIV / suivis de notes et d'éclaircissements, par M. le baron Walckenaer // Une maladie morale : le mal du siècle	
Faguet, Émile (1847-1916)	5608504.0	280.0	1910	Rousseau contre Molière // Alfred de Vigny : ses amitiés, son rôle littéraire. Les amitiés / Ernest Dupuy // Epilogues. Réflexions sur la vie. 2. 1899-1901. 6e éd. / Remy de Gourmont // Apologie pour Fénelon / Henri Bremond // Études littéraires : dix-huitième siècle // Epilogues. Réflexions sur la vie. 6. 1905-1912. 6e éd. / Remy de Gourmont // Epilogues. Réflexions sur la vie. 4. 1905-1907. 4e éd. / Remy de Gourmont // Epilogues. Réflexions sur la vie. 5. 1907-1910. 4e éd. / Remy de Gourmont // Propos de théâtre // Muses d’aujourd’hui. Essai de physiologie poétique // Alfred de Vigny : ses amitiés, son rôle littéraire. Le rôle littéraire / Ernest Dupuy // Epilogues. Réflexions sur la vie. 1. 1895-1898, 5e éd. / Remy de Gourmont // Oeuvre de Molière et sa fortune en Italie // Saint-Georges de Bouhélier et le naturisme / par Andriès de Rosa... // Le culte de l'incompétence (3e éd.) / par Emile Faguet,... // Culture française en Russie (1700-1900)... // Variations sur la vie et les livres : Mme de La Fayette ; la Vallée-aux-loups ; l'Épitaphe de Rabelais ; la Mort et l'amitié ; le Comédien ; Goethe et Shakespeare ; Voltaire et la tragédie / Jean Moréas // Essais de psychologie dramatique. Henry Becque, Paul Hervieu, Émile Fabre, Georges de Porto-Riche, Maurice Donnay, Jules Lemaître, Henri Lavedan, François de Curel, Brieux // Propos littéraires. Cinquième série // Victor-Marie, comte Hugo // Epilogues. Réflexions sur la vie. 3. 1902-1904. 7e éd. / Remy de Gourmont	
Barbier de Meynard, Charles (1826-1908)	1360220.0	33.0	1877	La poésie en Perse : leçon d'ouverture faite au Collège de France, le 4 décembre 1876 / par C. Barbier de Meynard,... // Les Soirées parisiennes... / par un monsieur de l'orchestre // Les Annales du théâtre et de la musique / Édouard Noël et Edmond Stoullig // Grimod de La Reynière et son groupe : d'après des documents entièrement inédits / par Gustave Desnoiresterres // Lettre sur le roman intitulé “Justine, ou les Malheurs de la vertu” / par Charles Villers,... ; [introduction d'Auguste Poulet-Malassis] // Volupté (9 édition revue et corrigée avec un appendice contenant les témoignages et jugements contemporains) / Sainte-Beuve,... // Conférences parisiennes // Nouveaux samedis : 14e série / par A. de Pontmartin,... // Molière et Bossuet : réponse à M. Louis Veuillot / par M. Henri de Lapommeraye // Rabelais, la Renaissance et la Réforme / par Émile Gebhart,... // Nouveaux samedis : 15e série / par A. de Pontmartin,...	
Des Essarts, Emmanuel (1839-1909)	3286803.0	240.0	1876	Du génie de Chateaubriand : discours d'ouverture prononcé à la Faculté des lettres de Clermont (cours de littérature française) / Emmanuel Des Essarts // L'art dans la poésie, poème en trois chants. [Précédé de] Observations critiques [sur le poème : “L'art de la poésie”] (4e éd. rev., augm. et précédée d'appréciations des meilleurs écrivains) / par B. Alciator ; par M. Beaumarchey,... // Oeuvres diverses. Série 1,Tome 8 / de Jules Janin ; publ. sous la dir. de M. Albert de La Fizelière... // Histoire de la littérature française sous le gouvernement de juillet, par M. Alfred Nettement. 2e édition.... Edition 3,Tome 2 // La Troupe du Roman comique dévoilée et les comédiens de campagne au XVIIe siècle, par Henri Chardon,... // Histoire de la littérature française sous le gouvernement de juillet, par M. Alfred Nettement. 2e édition.... Edition 3,Tome 1 // Notice sur la vie et les Mémoires du duc de Saint-Simon ; par A. Chéruel // Corneille inconnu / par Jules Levallois // Les Soirées parisiennes... / par un monsieur de l'orchestre // Voyages d'un critique à travers la vie et les livres : l'Angleterre littéraire // Études littéraires sur les chefs-d'oeuvre des classiques français (XVIIe et XVIIIe siècles), par Gustave Merlet // Lamartine / par E. Legouvé... // Oeuvres diverses. Série 1,Tome 6 / de Jules Janin ; publ. sous la dir. de M. Albert de La Fizelière... // Essais de littérature et de morale. Tome 1 / par Saint-Marc Girardin,... // Chroniques parisiennes (1843-1845) / par C.-A. Sainte-Beuve // Mémoires de la Société d'agriculture, sciences et arts du département de l'Aube // Oeuvres diverses. Série 1,Tome 7 / de Jules Janin ; publ. sous la dir. de M. Albert de La Fizelière... // Oeuvres diverses. Série 1,Tome 3 / de Jules Janin ; publ. sous la dir. de M. Albert de La Fizelière... // Du patriotisme littéraire // Les jansénistes du XVIIe siècle : leur histoire et leur dernier historien, M. Sainte-Beuve / par M. l'abbé Fuzet,... // Oeuvres de Philarète Chasles. L'antiquité // Deux épées brisées (Bertrand-Robert) ; par M. Ernest Legouvé,... // Les Ressuscités, par Charles Monselet... // Nouveaux samedis : 13e série / par A. de Pontmartin,...	
La Morlière, Jacques Rochette de (1719-1785)	19751.0	0.0	1755	Lettre à Madame de sur “l'Orphelin de La Chine”, tragédie nouvelle de M. de Voltaire // Lettre à un homme du vieux tems sur L'orphelin de la Chine , tragédie de M. de Voltaire, représentée pour la première fois le 20 août 1755	
Chasles, Philarète (1798-1873)	3915712.0	184.0	1875	La psychologie sociale des nouveaux peuples / oeuvre posthume de P. Chasles ; [préf. de Clotilde Schultz] // Les origines de la France contemporaine. L’ancien régime // Études slaves : voyages et littératures... / Louis Leger // Premiers Lundis, tome troisième // Documents pour servir à la biographie de Balzac. Balzac au collège / Champfleury // Nouveaux samedis : 12e série / par A. de Pontmartin,... // Les Annales du théâtre et de la musique / Édouard Noël et Edmond Stoullig // La musique française au XVIIIe siècle : Gluck et Piccini, 1774-1800 (2e éd.) / par Gustave Desnoiresterres // Documents pour servir à la biographie de Balzac. Balzac, sa méthode de travail / Champfleury // Nouveaux samedis : 11e série / par A. de Pontmartin,... // Jean-Jacques Rousseau. Sa vie et ses ouvrages avec une introduction ; par M. Ernest Bersot,... (11 janvier 1875.) // Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné,.... 4, Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné : durant la guerre de Louis XIV contre la Hollande / suivis de notes et d'éclaircissements, par M. le baron Walckenaer // Théâtre de M. Sardou, conférence faite le 21 janvier 1875, à la salle des Capucines // Bidasari : poëme malais ; précédé des traditions poétiques de l'Orient et de l'Occident / Louis de Backer // Revue des Deux Mondes : articles // Documents pour servir à la biographie de Balzac. Balzac propiétaire / Champfleury // Mémoires de la Société d'agriculture, sciences et arts du département de l'Aube // Les Soirées parisiennes... / par un monsieur de l'orchestre	
Aquin de Chateau-Lyon, Pierre-Louis d' (1720-1796?)	95139.0	0.0	1754	Observations sur les oeuvres poétiques de M. de Caux de Cappeval ,... par M. le chevalier de . Avec une lettre du véritable auteur du “Siècle littéraire”, à M. le chevalier de // Lettres critiques sur les lettres philosophiques de Mr. de Voltaire ... corrections, additions et supplément aux Lettres critiques...	
Hanriot, Charles-M.	3244873.0	151.0	1874	Faculté des lettres de Clermont. Leçon d'ouverture du cours de littérature française, par M. Ch. Hanriot,... Introduction à l'étude du théâtre de Molière // Portraits contemporains : littérateurs, peintres, sculpteurs, artistes dramatiques // Les quatre grands historiens latins ; suivis de Vingt-deux mois de la vie de Mirabeau / par D. Nisard,... // Le Théâtre moral, causerie par M. Paul Féval à la séance d'ouverture de la Société pour l'amélioration du théâtre en France, le 28 avril 1874 // Nouveaux samedis : 10e série / par A. de Pontmartin,... // Premiers Lundis, tome deuxième // Premiers Lundis, tome premier // La Prose. Études sur les chefs-d'oeuvre des prosateurs de tous les temps et de tous les pays, par Paul Albert,... 2e édition // La Littérature française au dix-huitième siècle, par Paul Albert,... // Le duc de Saint-Simon, son cabinet et l'historique de ses manuscrits / d'après des documents authentiques et entièrement inédits, par Armand Baschet // Les prédécesseurs de Milton : discours d'ouverture prononcé à la Faculté des lettres de Clermont (cours de littérature étrangère) / Emmanuel Des Essarts // La seconde interdiction de Tartuffe : avec la lettre sur la comédie de l'Imposteur, 1667 / Édouard Thierry // Histoire du Romantisme	
Grimm, Friedrich Melchior (1723-1807)	71718.0	1.0	1753	Le petit prophète de Boehmischbroda. Le correcteur des bouffons. La guerre de l'Opéra // Discours sur l'utilité des lettres / par M. l'abbé B. de L. R. (Boucher de La Richarderie)	
Patin, Henri Joseph Guillaume	2103271.0	99.0	1873	Etudes sur les tragiques grecs. 3. Eschyle / par M. Patin,... // Études de littérature et d'art : études sur l'Allemagne : lettres sur le salon de 1872 / par Victor Cherbuliez // Etudes sur les moralistes français, suivies de quelques réflexions sur divers sujets ; par M. Prévost-Paradol // Histoire du début d'Alexandre Dumas fils au théâtre, ou les Tribulations de “la Dame aux camélias” / par Henri de Lapommeraye // Nouveaux samedis : 9e série / par A. de Pontmartin,... // Dramaturgie de Hambourg (2e édition) / par E. G. Lessing ; traduction de M. Ed. de Suckau, revue et annotée par M. L. Crouslé ; avec une introduction par M. Alfred Mézières,... // Précis d'histoire de la langue française : depuis son origine jusqu'à nos jours (2e édition revue et augmentée de textes anciens, avec traduction et commentaire) / par A. Pellissier,... // Poésies de Mme Desbordes-Valmore. [précédées des articles] (2e édition) / publiées par Gustave Revilliod ; [de Sainte-Beuve, Émile Montégut et Caroline Olivier] // Théâtre-femme, causerie à propos de l'École des femmes. (Théâtre de la Gaîté, 26 janvier 1873.) // Portraits contemporains et questions actuelles / Léon Gautier // Molière, sa vie et ses oeuvres / par Jules Claretie // Nouveaux samedis : 8e série / par A. de Pontmartin,... // Impressions et souvenirs / par George Sand // La Tragédie et le drame, essai de critique littéraire sur les classiques de la tragédie grecque et de la tragédie française, par Jules Wilmart,... Thèse présentée à la Faculté de philosophie et lettres de l'Université de Bruxelles // Marguerite de Surville, sa vie, ses oeuvres, ses descendants devant la critique moderne / par Eugène Villedieu,... // Aventures de Télémaque ; suivies des Aventures d'Aristoniis / par Fénelon ; deux notices par M. Poujoulat... ; gravures... par V. Foulquier	
Racine, Louis (1692-1763)	100646.0	0.0	1752	Lettre de M. Racine, fils, à M. M . Réponse de M. M à M. Racine, fils, après la première représentation des Héraclides // Essai sur la comédie moderne, où l'on réfute les nouvelles observations de M. Fagan, au sujet des condamnations prononcées contre les comédiens. Suivis d'une histoire abrégée des ouvrages qui ont paru pour et contre la comédie depuis le 17e siècle. Par Monsieur M. L. J. D. B. // Lettre de M. Grimm sur Omphale, tragédie lyrique, reprise par l'Académie royale de musique le 14 janvier 1752	
Richepin, Jean (1849-1926)	2902553.0	160.0	1872	Les étapes d'un réfractaire : Jules Vallès / par Jean Richepin ; avec une eau-forte par André Gill // Les problèmes du XIXe siècle : la politique, la littérature, la science, la philosophie, la religion // Mélanges posthumes d'Adam Mickiewicz. T. II. 1. Légendes lithuaniennes : Zywila, Korylla. 2. Ce que femme préfère (proverbe). 3. Notices littéraires : Dépouillement des bibliothèques et musées de Pologne, La mort de Garczynski, Coup d'oeil sur les Dziady et Fragment de la 1re partie. 4. Apologétique du romantisme. De la poésie romantique. Réponse aux critiques de Varsovie / publiés avec introduction, préfaces et notes par Ladislas Mickiewicz // Chateaubriand et son groupe littéraire sous l'empire : cours professé à Liége en 1848-1849. Tome 1 / par C.-A. Sainte-Beuve,... // Montesquieu, bibliographie de ses oeuvres, par M. Louis Vian // Dialogues des vivants et des morts / par Edmond Biré ; préf. par Armand de Pontmartin // Mes premières années de Paris / Auguste Vacquerie // Le Cardinal de Retz : son génie et ses écrits (3e édition) / par Marius Topin // Chateaubriand et son groupe littéraire sous l'empire : cours professé à Liége en 1848-1849. Tome 2 / par C.-A. Sainte-Beuve,... // Origines de la poésie lyrique en France, au XVIe siècle, discours d'ouverture prononcé à la Faculté des lettres de Dijon. (Cours de littérature française.) // Sainte-Beuve : l'oeuvre du poète, la méthode du critique, l'homme public, l'homme privé / par Jules Levallois // Théâtre classique : contenant le Cid, Horace, Cinna, Polyeucte, de P. Corneille, Britannicus, Esther, Athalie, de Racine, Le misanthrope, de Molière, et les principales scènes de Mérope, de Voltaire (Nouvelle édition contenant des notes historiques, grammaticales et littéraires, l'analyse des pièces toutes les préfaces des auteurs, et des appréciations littéraires et analytiques empruntées aux meilleurs critiques) / par MM. Aderer, Aulard, Gidel, Henry et Jonette,... // Les Artistes, juges et parties, causeries parisiennes, par Paul Stapfer	
Lambert, Claude-François (1705-1765)	1088936.0	16.0	1751	Histoire littéraire du règne de Louis XIV. Tome 1 / . Dédiée au roy. Par M. l'abbé Lambert // Histoire littéraire du règne de Louis XIV. Tome 3 / . Dédiée au roy. Par M. l'abbé Lambert // Histoire littéraire du règne de Louis XIV. Tome 2 / . Dédiée au roy. Par M. l'abbé Lambert	
Anonyme	190756.0	16.0	1871	De la décadence du théâtre et des moyens de le régénérer // Histoire de la littérature romaine. Tome 1 / par Paul Albert,... // Histoire de la littérature romaine. Tome 2 / par Paul Albert,...	
Taine, Hippolyte-Adolphe (1828-1893)	4393911.0	217.0	1870	De l’intelligence. Première partie : Les éléments de la connaissance // Histoire littéraire de la France avant Charlemagne. Edition 3,Tome 2 / par J.-J. Ampère,... ; (publ. par Ch. Daremberg ; avec une étude sur J.-J. Ampère par Albert de Broglie) // Nouveaux samedis : 7e série / par A. de Pontmartin,... // Nouveaux Lundis, tome douzième // La science et la conscience // Étude sur les Essais de Montaigne / par Alphonse Leveaux // De l’intelligence. Deuxième partie : Les diverses sortes de connaissances // De l'origine du théâtre à Paris / par Paul Milliet // Du rondeau, du triolet, du sonnet / par Paul Gaudin // Nouveaux Lundis, tome treizième // Histoire littéraire de la France avant Charlemagne. Edition 3 / par J.-J. Ampère,... ; (publ. par Ch. Daremberg ; avec une étude sur J.-J. Ampère par Albert de Broglie) // Laurence Sterne, étude biographique et littéraire précédée d'un fragment inédit de Sterne, thèse pour le doctorat présentée... par Paul Stapfer,...	
Boutarel, M. (Dr)	795629.0	31.0	1918	La médecine dans notre théâtre comique, depuis ses origines jusqu'au XVIe siècle... / Dr M. Boutarel // Frédéric Mistral : poète, moraliste, citoyen... / Pierre Lasserre // La jeunesse de Joseph Joubert / André Beaunier // La forêt des cippes : essais de critique.. : avec un portrait de l'auteur. Théâtre classique : Corneille ; Racine ; Molière ; Marivaux ; Jean Moréas / Pierre Gilbert ; avertissement et notes par son ami E. M [Eugène Marsan] // Baudelaire et la religion du dandysme / par Ernest Raynaud // La forêt des cippes : essais de critique.. : avec un portrait de l'auteur. Le prince de Ligne / Pierre Gilbert ; avertissement et notes par son ami E. M [Eugène Marsan]	
Estève, Edmond (1868-1928)	1133530.0	41.0	1917	Paul Hervieu, conteur, moraliste et dramaturge : essai de critique littéraire / Edmond Estève,... // Figures d'autrefois : pèlerins de Venise, humanistes dévots, Jean de La Fontaine, un financier sous la monarchie, le frère de Diderot, Adélaïde Dufrenoy, les tribulations de M. de Murville, Némorin qui chante la “Carmagnole”, un conventionnel en mission, la comtesse d'Albany, trois amis de Mme de Staël, les costumes de M. de Chateaubriand / André Beaunier // Les livres et les hommes (1916-1917) / Laurent Tailhade // Dramaturgie de Paris // Ecrits sur le théâtre / Henry Bataille // Histoire de la langue française, des origines à 1900. 5, Le français en France et hors de France au XVIIe siècle / Ferdinand Brunot,... // Les diverses familles spirituelles de la France	
Bremond, Henri (1865-1933)	4377627.0	121.0	1916	Histoire littéraire du sentiment religieux en France : depuis la fin des guerres de religion jusqu'à nos jours. Volume 6 / par Henri Brémond... ; index alphabétique et analytique par Charles Grolleau // Histoire littéraire du sentiment religieux en France : depuis la fin des guerres de religion jusqu'à nos jours. Volume 1 / par Henri Brémond... ; index alphabétique et analytique par Charles Grolleau // Histoire littéraire du sentiment religieux en France : depuis la fin des guerres de religion jusqu'à nos jours. Volume 3 / par Henri Brémond... ; index alphabétique et analytique par Charles Grolleau // La littérature et la guerre / Paul Adam // Les idées et les hommes // Histoire littéraire du sentiment religieux en France : depuis la fin des guerres de religion jusqu'à nos jours. Volume 8 / par Henri Brémond... ; index alphabétique et analytique par Charles Grolleau // Histoire littéraire du sentiment religieux en France : depuis la fin des guerres de religion jusqu'à nos jours. Volume 4 / par Henri Brémond... ; index alphabétique et analytique par Charles Grolleau // Histoire littéraire du sentiment religieux en France : depuis la fin des guerres de religion jusqu'à nos jours. Volume 2 / par Henri Brémond... ; index alphabétique et analytique par Charles Grolleau // Histoire littéraire du sentiment religieux en France : depuis la fin des guerres de religion jusqu'à nos jours. Volume 11 / par Henri Brémond... ; index alphabétique et analytique par Charles Grolleau // Histoire littéraire du sentiment religieux en France : depuis la fin des guerres de religion jusqu'à nos jours. Volume 12 / par Henri Brémond... ; index alphabétique et analytique par Charles Grolleau // Histoire littéraire du sentiment religieux en France : depuis la fin des guerres de religion jusqu'à nos jours. Volume 7 / par Henri Brémond... ; index alphabétique et analytique par Charles Grolleau // Histoire littéraire du sentiment religieux en France : depuis la fin des guerres de religion jusqu'à nos jours. Volume 5 / par Henri Brémond... ; index alphabétique et analytique par Charles Grolleau // Lamartine orateur / Louis Barthou // Histoire littéraire du sentiment religieux en France : depuis la fin des guerres de religion jusqu'à nos jours. Volume 9 / par Henri Brémond... ; index alphabétique et analytique par Charles Grolleau // Histoire littéraire du sentiment religieux en France : depuis la fin des guerres de religion jusqu'à nos jours. Volume 10 / par Henri Brémond... ; index alphabétique et analytique par Charles Grolleau // Têtes couronnées / Robert de Montesquiou	
Gourmont, Remy de (1858-1915)	736962.0	119.0	1915	La Belgique littéraire (6, 6e édition) / Remy de Gourmont // Les idées et les hommes	
Bellessort, André (1866-1942)	4740166.0	311.0	1914	Sur les grands chemins de la poésie classique : Ronsard, Corneille, La Fontaine, Racine, Boileau / André Bellessort // Histoire littéraire de la France. 34-37, Suite du quatorzième siècle. Tome 35 / ouvrage commencé par des religieux bénédictins de la Congrégation de Saint-Maur et continué par des membres de l'Institut (Académie des Inscriptions et Belles-Lettres) // Esquisse d'histoire de la littérature française / par G. Vapereau,... // La comédie humaine dans Saint-Simon : Conférence... / par M. René Doumic,... // Enquête : Les prix littéraires // Histoire littéraire de la France. 34-37, Suite du quatorzième siècle. Tome 34 / ouvrage commencé par des religieux bénédictins de la Congrégation de Saint-Maur et continué par des membres de l'Institut (Académie des Inscriptions et Belles-Lettres) // Bibliothèque stendhalienne (Appendice aux Oeuvres complètes). II / publiée sous la direction [de Paul Arbelet et] d'Édouard Champion // Voix d'Ionie ; précédées de quelques poèmes (2e édition) / Francis Vielé-Griffin // Note conjointe sur M. Descartes et la philosophie cartésienne // Enquête : L’Académie française // Une année de critique // L’évolution des genres dans l’histoire de la littérature : leçons professées à l’Ecole normale supérieure. 1914. // Les Annales du théâtre et de la musique / Édouard Noël et Edmond Stoullig // Shakespeare et la superstition shakespearienne // À travers Shakespeare : conférences faites à l'Université des Annales / Jean Richepin,... // Note sur M. Bergson et la philosophie bergsonienne // Boulevard et coulisses // En lisant Molière : l’homme et son temps, l’écrivain et son œuvre	
La Font de Saint-Yenne, Étienne (1688-1771)	118013.0	0.0	1759	Lettre a M. Gresset, de l'Académie françoise, au sujet de celle qu'il a publiée sur la comédie // Lettre de M. Gresset, l'un des quarante de l'Académie françoise, à M.  sur la comédie // Salon de 1759 // L.-H. Dancourt, arlequin de Berlin, à M. J.-J. Rousseau, citoyen de Genève	
Palante, Georges (1862-1925)	3938993.0	266.0	1913	Les antinomies entre l’individu et la société // Petite ville , paysages // Les idées et les hommes // Discours sur la langue française (Académie française, prix d'éloquence, 1912) // Préférences : Charles Guérin, Rémy de Gourmont, Stéphane Mallarmé, Jules Laforgue, Paul Verlaine (2e éd.) / Paul Escoube // Le mouvement littéraire belge d’expression française depuis 1880 // Les Annales du théâtre et de la musique / Édouard Noël et Edmond Stoullig // La Fontaine // Giacomo Leopardi // Poètes et critique // Les livres du temps. 3e série. 5e éd. - 1930 / Paul Souday // La pensée de Paul Bourget / Vte Joseph de Bonne // Le théâtre / Alfred Capus // Selon Balzac : le coeur humain / Léon Frary... // Le théâtre sous la Terreur (Théâtre de la peur), 1793-1794... / par Paul d'Estrée... // Le bovarysme // Essai sur la littérature merveilleuse des noirs ; suivi de Contes indigènes de l’Ouest-Africain français	
